delta_bits,count
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010000010100111000001010000011100110111101011110000110010100111000101010111101010100111101000001111100001111000001001101111011011001111001100010000111001011111100001110100100100110010101110,2
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101011110100010011110010100110000111101011110110011100000101000101111010100000100011011101000101110010110001110110100011100010101000111101110010111111010100111100000100110000101100000101000,2
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101110011011001111011100010000111001011111100001110110100100100010101110,2
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011101010101000111111110010111111010100111100000100100000101110000101000,2
00111010100111010010010111000011111101001110000000111001111001111101111011001000001110000011111001001011110010101011110100010011110010100110000111101011110110011100000101000001110010100000100011011101001101110010111001110110100011100010001000111101100000111111010100111100000100110000100100000101000,1
00001010000010010000110010000011110010101111110000011011110001000100011100010110111001110100111011001011101100010000010100111000001010000011100110111101011110000110010100111100100010111101010100111101001001111100000111000001001101111011111001111001110000000111001011111100001110100100101110010101110,1
00001010000010010000110010000011110010101111110000011011110001000100011101010110111001110100111011001011101100010000010100111000001010000011100110111101011110000110010100111100100010111101010100111101001001111100000111000001001101111011111001111001110000000111001011111100001110100100101110010101110,1
00111010100111010010010111000011111101001110000000111001111001111101111010001000001110000011111001001011110010101011110100010011110010100110000111101011110110011100000101000001110010100000100011011101001101110010111001110110100011100010001000111101100000111111010100111100000100110000100100000101000,1
00111010100111010010010111000011111101001110000100111001111001101101111011001000001110000011111001001011110010101011110100010001110010100110000111101011110110011100000101000001110010100000100011011101001101110010111101110110101011100010001000111101100000111111010100111100000100110000100000000101000,1
00001010000010010000110010000011110010101111110100011011110001010100011100010110111001110100111011001011101100010000010100111010001010000011100110111101011110000110010100111100100010111101010100111101001001111100000011000001000101111011111001111001110000000111001011111100001110100100101010010101110,1
00111010100110010010010111000011111101001110000100011001111001101101111011001000001111000011111000001011110010101011110101010001110000100110000111101001110110111100000101000001110010100000100011011101001101110010111101110110101011100010001000111101100000111111010100111101000100110000100000000101000,1
00001010000011010000110010000011110010101111110100111011110001010100011100010110111000110100111010001011101100010000010101111010001000000011100110111111011110100110010100111100100010111101010100111101001001111100000011000001000101111011111001111001110000000111001011111101001110100100101010010101110,1
00111010100010011010110111000011111111001110000100011101111001101100111001001000001111000011111000001011110011101011110101010001010001100110000111101001110110111110010101000001110010100100100011011101001101110010111101110110101011100010001000111101100000111111011100111101000100110000100000000110000,1
00001010000111011000010010000011110000101111110100111111110001010101011110010110111000110100111010001011101101010000010101111010101001000011100110111111011110100100000100111100100010111001010100111101001001111100000011000001000101111011111001111001110000000111000011111101001110100100101010010110110,1
00000110000000010000110010101010110011101111110000011011110001000100011101010110111011110100111111101011101100010010010100011000001010100111110110011001011110000110011000101000101010111101011100111101000001111100001111000001101011110011011000111011100010000111001111111100101110110101100100000101110,1
00110110100101010010010111101010111100001110000000111001111001111101111010001000001100000011111101101011110010101001110100110011110010000010010111001111110110011100001001010101111010100000101011011101000101110010110001110110000101101010101001111111110010111111010000111100100100100001101110010101000,1
00111011000010011010110111010011111111001100000100011101110001101100111101011000000111000011111000001011110011101011110101010001010001100110000111101001100110111110010100100000100000110100100011011101011111110010111111110110101011000010001000111001100000111111011100110101010100110000100000000110000,1
00001011100111011000010010010011110000101101110100111111111001010101011010000110110000110100111010001011101101010000010101111010101001000011100110111111001110100100000101011101110000101001010100111101011011111100000001000001000101011011111001111101110000000111000011110101011110100100101010010110110,1
00000110001000010000110000101010110011101111010000011001110001001100001101010110111111110100111111101010111100010010110000010000010010100111110010011001011110000110011010101000101010111101011101111101000001111100001110000001101011110011011000111011100010000011001101111100101110110101100100001101110,1
00110110101101010010010101101010111100001110100000111011111001110101101010001000001000000011111101101010100010101001010000111011101010000010010011001111110110011100001011010101111010100000101010011101000101110010110000110110000101101010101001111111110010111011010010111100100100100001101110011101000,1
00111011000010011011110011010011110011001100010100011101110001001100111101010000010111000011111010011011111011101111110101000001010101100110100111101001101100111110010100100000100001110100100011110101011111110010111111111110101011000011001100110001100000101111011100110001010000110000100001000110000,1
00001011100111011001010110010011111100101101100100111111111001110101011010001110100000110100111000011011100101010100010101101010101101000011000110111111000100100100000101011101110001101001010100010101011011111100000001001001000101011010111101110101110000010111000011110001011010100100101011010110110,1
00000100001000010000110000101000110011100111010000011000110011001100001101010111111111110101101111101010011000010010111000010000010010101111110011010001111110010110111010100000001010111111011101111101100101111100001110100000111010110111001000011011100010100001001100111100101101111101100100001101110,1
00110100101101010010010101101000111100000110100000111010111011110101101010001001001000000010101101101010000110101001011000111011101010001010010010000111010110001100101011011101011010100010101010011101100001110010110000010111010100101110111001011111110010011001010011111100100111101001101110011101000,1
01111011000010101011111011010011000011111000010101011101100001001110110101110000010111001001111010011011111011101111110111000000010101110100100111111000101101111111010100100000100001110100100001100101011111011010101111111000101011000011001110110001000001101110011100110001010000110100100001000010000,1
01001011100111101001011110010011001100011001100101111111101001110111010010101110100000111110111000011011100101010100010111101011101101010001000110101110000101100101000101011101110001101001010110000101011011010100010001001111000101011010111111110101010001010110000011110001011010100000101011010010110,1
00010100001000010110100001101000110011100111011000001000110110001100101101010001111111010101001111101100011000001010101000010100010010101111111001010001111110011010111010100000001110110111001101111100100101111001101110110000111010110101001000001010101110101001111100001110101101111101010100001101101,1
11011011010010101011111011010111000011111001010111010101000001001010110101110000110111011101110010010011111001001110110111000000010101110101100111111000101001111111010100100010100001010101000101100011011110001000101111111000101011010011000110110001000001101110011100110001011000010110100001100010100,1
00100100101101010100010101101000111100000110101000101010111110110101101010001111001000100010101101101010000110111001011000111011101010001010011010000111010110000000101011011101011110100010101010011101100001110111010000000111010100101110111001011111111010011001100011001110100111101001011110011101001,1
00010100001000010110110000101000110011100111011000001000110110001100001101010001111111010101101111101010011000000010111000010000010010101111111011010001111110011010111010100000001110111111011101111101100101111001101110110000111010110111001000011011101010100001111100001110101101111101010100001101111,1
00001011100111011001011110010011111100101001100100111111101001110111010010101110100000110100111000011011100101010100010101101011101101010011000110101110000100100101000101011101110001101001010110000101011011010100000001001001000101011010111101110101110000010110000011110001011010100100101011010010110,1
00111011000010011011111011010011110011001000010100011101100001001110110101110000010111000011111010011011111011101111110101000000010101110110100111111000101100111111010100100000100001110100100001100101011111011010111111111110101011000011001100110001100000101110011100110001010000110000100001000010000,1
00110110101101010010010101101010111100001110100000111011111001110101101010001000001000000011111101101010100010101001011000111011101010000010010010001111110110001100001011010101011010100010101010011101100001110010110000010110000101101010101001111111110010111011010011111100100110101001101110011101000,1
00000110001000010000110000101010110011101111010000011001110001001100001101010110111111110100111111101010111100010010111000010000010010100111110011011001011110010110011010101000001010111111011101111101100101111100001110100001101011110011011000111011100010000011001100111100101100111101100100001101110,1
00001010100111011000010010010011110000101101110100111111111001010101011010000110110000110100111010001011101101010000010101111010101001000011100110111111001110100100000100011100110000101001010100111101011011111100000001000001000101111011111001111001110000000111000011110101011110100100101010010110110,1
00111010000010011010110111010011111111001100000100011101110001101100111101011000000111000011111000001011110011101011110101010001010001100110000111101001100110111110010101100001100000110100100011011101011111110010111111110110101011100010001000111101100000111111011100110101010100110000100000000110000,1
00111010100010011010110111010011111111001110000100011101110001101100111101011000001111000011111000001011110011101011110101010001010001100110000111101001100110111110010101000001100010100100100011011101011111110010111101110110101011100010001000111101100000111111011100110101010100110000100000000110000,1
00001010000111011000010010010011110000101111110100111111111001010101011010000110111000110100111010001011101101010000010101111010101001000011100110111111001110100100000100111100110010111001010100111101011011111100000011000001000101111011111001111001110000000111000011110101011110100100101010010110110,1
00000110001000010000110000101010110011101111010000011001110001001100001101010110111111110100111111101010111100010010110000010000010010100111110010011001011110000110011010101000101010111111011101111101100101111100001110000001101011110011011000111011100010000011001101111100101100111101100100001101110,1
00110110101101010010010101101010111100001110100000111011111001110101101010001000001000000011111101101010100010101001010000111011101010000010010011001111110110011100001011010101111010100010101010011101100001110010110000110110000101101010101001111111110010111011010010111100100110101001101110011101000,1
01111011000010011011111011010011000011111000010101011101100001001110110101110000010111000011111010011011111011101111110111000000010101110100100111111000101101111111010100100000100001110100100001100101011111011010101111111010101011000011001110110001000000101110011100110001010000110100100001000010000,1
01001011100111011001011110010011001100011001100101111111101001110111010010101110100000110100111000011011100101010100010111101011101101010001000110101110000101100101000101011101110001101001010110000101011011010100010001001101000101011010111111110101010000010110000011110001011010100000101011010010110,1
10010100011000010110100001101000110011100111011000001000110110001100101101010001111111010001000111101100011010001010101000010100010010101111111001010001111110011010111010100000001110110111001101111100100101111001101110110000111010110101001000001010101110101001111100001110101101111101010100001101101,1
01011011000010101011111011010111000011111001010111010101000001001010110101110000110111011001111010010011111011001110110111000000010101110101100111111000101001111111010100100010100001010101000101100011011110001000101111111000101011010011000110110001000001101110011100110001011000010110100001100010100,1
00110100101101010000010101101000111100000110100000101010111111110101101010001011001000000010101101101010000110101001011000111011101010001010011010000111010110001000101011011101011110100010101010011101100001110010110000010111010100101110111001011111110010011001100011001100100111101001101110011101000,1
00000100001000010010110000101000110011100111010000001000110111001100001101010101111111110101101111101010011000010010111000010000010010101111111011010001111110010010111010100000001110111111011101111101100101111100001110100000111010110111001000011011100010100001111100001100101101111101100100001101110,1
00001011100111011000010010010011110100101101110100111111111001010101011010000110110000110100111010001011100101010000010101111010101101000011100110111111001100100100000101011101110000101001010100010101011011111100000001000001000101011010111001111101110000010111000011110101011110100100101011010110110,1
00111011000010011010110111010011111011001100000100011101110001101100111101011000000111000011111000001011111011101011110101010001010101100110000111101001100100111110010100100000100000110100100011110101011111110010111111110110101011000011001000111001100000101111011100110101010100110000100001000110000,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100001001000101111010100000100011011101000101110010110001110110100011101010101000111111110010111111010100111100000100100000101110000101000,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110011000111000101010111101010100111101000001111100001111000001001101110011011001111011100010000111001011111100001110110100100100010101110,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101110011011001111001100010000111001011111100001110110100100110010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011101010101000111101110010111111010100111100000100100000101100000101000,1
00111011000010011010110111010011111011001100000100011101110001101100111101011000000111000011111000001011111011101011110101010001010101100110000111101001100100111110010100100000100000110100100011110101011111110010111111110110101011000010001000111001100000111111011100110101010100110000100001000110000,1
00001011100111011000010010010011110100101101110100111111111001010101011010000110110000110100111010001011100101010000010101111010101101000011100110111111001100100100000101011101110000101001010100010101011011111100000001000001000101011011111001111101110000000111000011110101011110100100101011010110110,1
00000100001000010010110000101000110011100111010000001000110111001100001101010101111111010101101111101010011000010010111000010000010010101111111011010001111110010010111010100000001110111111011101111101100101111100001110100000111010110111001000011011101010100001111100001100101101111101100100001101111,1
00110100101101010000010101101000111100000110100000101010111111110101101010001011001000100010101101101010000110101001011000111011101010001010011010000111010110001000101011011101011110100010101010011101100001110010110000010111010100101110111001011111111010011001100011001100100111101001101110011101001,1
11011011010010101011101010010111000011111001010111010101000001001010010101110000110111011101110010010111111001000110110111000000010101110101100101111000101001111111010100100010100001010101010101100010011110001000101111111000101011010001000110100000000001101110011100110001011000010110100001100010110,1
00010100001000010110110000101000110011100111011000001000110110001100001101010001111111010101001111101000011000000010101000010100010010101111111011010001111110011010111010100000001110110111011101111101100101111001101110110000111010110111001000011011101110101001111100001110101101111101010100001101111,1
00001011100111011001010110010011111100101101100100111111111001110101011010001110100000110100111000011011100101010100010101101010101101000011000110111111000100100100000101011101110001101001010100010101011011111100000001001001000101011010111001110101110000010111000011110001011010100100101011010110110,1
00111011000010011011110011010011110011001100010100011101110001001100111101010000010111000011111010011011111011101111110101000001010101100110100111101001101100111110010100100000100001110100100011110101011111110010111111111110101011000011001000110001100000101111011100110001010000110000100001000110000,1
00110110100101010010010111001011111100001110000000111001111001111101111010001000001100000011111101001011110010101001110100010011110010000010010111101111110110011100001001010101111010100000101011011101000101110010110001110110100111101010101000111111110010111111010000111100000100100001101110000101000,1
00000110000000010000110010001011110011101111110000011011110001000100011101010110111011110100111111001011101100010010010100111000001010100111110110111001011110000110011000101000101010111101011100111101000001111100001111000001001001110011011001111011100010000111001111111100001110110101100100010101110,1
00001010000000010000110010001011110010101111110000011011110001000100011101010110111011110100111011001011101100010010010100111000001010000111110110111001011110000110010000111000101010111101010100111101000001111100001111000001001101110011011001111001100010000111001011111100001110110100100100010101110,1
00111010100101010010010111001011111101001110000000111001111001111101111010001000001100000011111001001011110010101001110100010011110010100010010111101111110110011100000001000101111010100000100011011101000101110010110001110110100011101010101000111101110010111111010100111100000100100000101110000101000,1
00111011000010011011110011010011111011001100000100011101110001101100111101011000000111000011111010011011111011101111110101010001010101100110000111101001101100111110010100100000100000110100100011110101011111110010111111110110101011000011001000111001100000101111011100110101010000110000100001000110000,1
00001011100111011001010110010011110100101101110100111111111001010101011010000110110000110100111000011011100101010100010101111010101101000011100110111111000100100100000101011101110000101001010100010101011011111100000001000001000101011010111001111101110000010111000011110101011010100100101011010110110,1
00010100001000010110110000101000110011100111011000001000110110001100001101010001111111010101001111101010011000000010101000010100010010101111111011010001111110011010111010100000001110111111011101111101100101111001101110110000111010110111001000011011101110101001111100001110101101111101010100001101111,1
11011011010010101011101010010111000011111001010111010101000001001010010101110000110111011101110010010101111001000110110111000000010101110101100101111000101001111111010100100010100001011101010101100010011110001000101111111000101011010001000110100000000001101110011100110001011000010110100001100010110,1
